Country Name,Month,Source Name (URL,Total Administered Vaccines
India,03/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport10thMarch2021.pdf,10830875
India,03/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport15thMarch2021.pdf,18093296
India,03/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport24thMarch2021.pdf,35987150
India,03/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport28thMarch2021.pdf,45676299
India,03/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport6thMarch2021.pdf,6068208
India,03/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport8thMarch2021.pdf,8154597
India,03/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationcoveragereport29thMarch2021.pdf,46259218
India,03/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDvaccinationCoverageReport11thMarch2021.pdf,11310784
India,03/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDvaccinationreport14thMarch2021.pdf,15053902
India,03/2021,http://mohfw.gov.in/pdf/CumulativeCoverageReport2ndMarch2021.pdf,0
India,03/2021,http://mohfw.gov.in/pdf/CumulativeCoverageReport3rdMarch2021.pdf,1761912
India,03/2021,http://mohfw.gov.in/pdf/CumulativeCoverageReport4thMarch2021.pdf,3151367
United States,03/2021,https://data.cdc.gov/Vaccinations/COVID-19-Vaccination-Trends-in-the-United-States-N/rh2h-3yt2,82164191
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/080e685e7a0b47bcb7bfef7e02499a45.shtml,63715000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/0f1e58f027664c078e46665cb6b869e3.shtml,55802000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/1014615f73854e9c9cf75a10284ea2d9.shtml,22981000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/1a24ec3c6c884cf1ae9d08e026f2b2ec.shtml,41300000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/1a71d84d4f314f6588915fe28c909dbf.shtml,16856000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/1e17e9266d1e4fa883ef2e480b37b40d.shtml,105080000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/2d30c4012929439c9e7cfff8415da13d.shtml,13980000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/347a9fa13b3e4a428cae5d54d058fd4e.shtml,133642000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/4bf0af6598ca4a88872a8fae80544407.shtml,29250000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/4f3b401243cb4c57a940b6b9902f2bd9.shtml,79144000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/571c23a11513435db0246103873d1639.shtml,100488000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/6342f4bb39114716bcd1cb5c452cb704.shtml,109668000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/693f417183cb44bd8a774b2f1419c399.shtml,124084000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/6a06d971a4e34c69b48f47dfeff9cb11.shtml,96263000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/6f2444d14dce4ccda1a53554feaa153a.shtml,72306000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/6fa3e91fe96f424ab144c1f33fcafab9.shtml,116155000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/70adf40602524305b66824bece1f298c.shtml,35329000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/7596959f303944f0965a75f7f9ef5539.shtml,84370000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/a2c7143c27bc4e2e9ba0645d582094cd.shtml,20149000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/a61f34d7ac7e4692b13b0c8c0663b5f1.shtml,47522000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/aa7229fe6d6d439aa60c884692cbc202.shtml,75201000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/baebb6c1e09344a3a5463247860b4f84.shtml,6795000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/d2755da833374735ab125abcc2699849.shtml,67547000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/f024fd41574a4132bd5b007c12b71a17.shtml,69988000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml,52107000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/f2bd77de994d4a798645a2316584f870.shtml,44650000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/f46fb541aabb4b4c8a79317dd542baa6.shtml,25571000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/fd626cb91aec4991b39e7197cdaa8885.shtml,91402000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202104/fdc6ca0da1f240298a6274d0b6a539fe.shtml,59395000
China,04/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/24b44c42bc9140b8a8f47769678e113d.shtml,145243000
Falkland Islands,04/2021,https://www.facebook.com/FalkIandsGov/posts/4401230323224594,2220
India,04/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCOverageREport2ndApril2021.pdf,7936399
India,04/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCOverageReport7thApril2021.pdf,25080777
India,04/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCOverageReport9thApril2021.pdf,32957264
India,04/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageREport8thApril2021.pdf,29216366
India,04/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport10thApril2021.pdf,36477251
India,04/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport11thApril2021.pdf,39410669
India,04/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport12April2021.pdf,43415189
India,04/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport14thApril2021.pdf,49375342
India,04/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport15thApril2021.pdf,52105613
