Dates,United States,China,Ireland,India
2022-07-09,17071,,221,
2022-07-10,9579,,16,
2022-07-11,30755,,82,620831
2022-07-12,32569,,75,547110
2022-07-13,36305,,40,944922
2022-07-14,36141,,120,1890375
2022-07-15,41613,,209,778290
2022-07-16,21358,,165,
2022-07-17,12749,,21,
2022-07-18,37679,,34,
2022-07-19,40094,,67,370108
2022-07-20,41049,,30,491280
2022-07-21,43662,,70,573359
2022-07-22,51200,,175,750876
2022-07-23,30964,,230,540789
2022-07-24,14412,,23,494189
2022-07-25,37329,,16,408815
2022-07-26,42600,,73,346079
2022-07-27,42404,,73,528967
2022-07-28,43941,,105,580976
2022-07-29,46944,,120,663192
2022-07-30,21359,,57,425298
2022-07-31,10209,,17,336736
2022-08-01,31208,,31,112346
2022-08-02,37022,,139,348000
2022-08-03,36480,,54,
2022-08-04,35611,,91,
2022-08-05,40313,,130,567468
2022-08-06,22459,,80,433656
2022-08-07,12583,,16,458989
2022-08-08,32709,,42,443185
2022-08-09,34729,,95,346221
2022-08-10,32644,,42,189905
2022-08-11,33550,,75,319051
2022-08-12,38403,,151,280747
2022-08-13,19293,,26,285232
2022-08-14,9050,,12,312932
2022-08-15,30842,,29,158269
2022-08-16,32085,,58,87641
2022-08-17,31712,,40,280779
2022-08-18,31140,,56,367069
2022-08-19,36576,,127,323991
2022-08-20,16039,,36,182462
2022-08-21,7668,,13,362704
2022-08-22,27210,,72,371584
2022-08-23,29412,,57,304015
2022-08-24,29468,,50,292806
2022-08-25,29319,,90,328050
2022-08-26,32588,,119,425558
2022-08-27,15447,,21,280254
2022-08-28,7264,,13,260240
2022-08-29,24848,,45,163771
2022-08-30,25752,,29,249788
2022-08-31,25173,,33,194101
2022-09-01,21088,,52,174229
2022-09-02,23577,,101,300925
2022-09-03,10711,,82,236309
2022-09-04,6344,,7,255556
2022-09-05,2089,,22,284476
2022-09-06,29293,,42,184733
2022-09-07,41887,,56,196149
2022-09-08,43259,,60,281603
2022-09-09,55720,,135,299942
2022-09-10,33714,,58,190853
2022-09-11,18669,,13,238500
2022-09-12,48503,,25,272886
2022-09-13,47379,,32,202865
2022-09-14,50683,,38,187360
2022-09-15,51800,,56,254697
2022-09-16,63469,,149,249311
2022-09-17,30802,,54,189182
2022-09-18,16867,,11,181560
2022-09-19,50853,,37,170456
2022-09-20,52347,,32,131688
2022-09-21,56634,,35,129413
2022-09-22,56443,,41,159937
2022-09-23,67784,,104,177501
2022-09-24,33443,,75,136964
2022-09-25,17343,,10,159502
2022-09-26,53133,,35,128885
2022-09-27,54180,,29,113719
2022-09-28,57410,,23,124410
2022-09-29,57274,,60,179580
2022-09-30,65371,,106,250871
2022-10-01,29238,,48,146565
2022-10-02,16598,,1,74543
2022-10-03,52714,,17,24932
2022-10-04,54149,,37,43093
2022-10-05,58268,,28,31960
2022-10-06,57148,,40,19531
2022-10-07,66099,,103,71340
2022-10-08,30461,,29,77415
2022-10-09,17275,,3,65184
2022-10-10,54056,,16,22896
2022-10-11,55072,,38,70542
2022-10-12,59744,,29,130328
2022-10-13,56891,,23,
2022-10-14,65582,,121,
2022-10-15,28826,,38,84422
2022-10-16,16597,,3,65427
2022-10-17,55139,,17,21299
2022-10-18,54477,,42,74713
2022-10-19,57995,,10,77378
2022-10-20,56080,,21,103071
2022-10-21,62839,,58,103911
2022-10-22,28193,,48,66358
2022-10-23,15769,,4,36540
2022-10-24,53756,,21,6398
2022-10-25,54806,,23,5480
2022-10-26,59582,,35,19191
2022-10-27,55688,,19,29378
2022-10-28,62209,,65,35093
2022-10-29,26584,,6,34042
2022-10-30,14144,,,23657
2022-10-31,42185,,,
2022-11-01,46110,,24,
2022-11-02,48567,,14,27290
2022-11-03,48282,,28,34691
2022-11-04,57331,,22,37035
2022-11-05,25556,,54,34155
2022-11-06,13990,,78,27107
2022-11-07,43099,,3,7011
2022-11-08,42259,,32,30141
2022-11-09,42930,,32,20838
2022-11-10,42879,,15,33291
2022-11-11,46073,,15,33395
2022-11-12,21862,,88,28462
2022-11-13,12560,,63,16203
2022-11-14,39782,,2,6791
2022-11-15,40814,,8,32462
2022-11-16,41582,,20,25516
2022-11-17,40685,,13,27814
2022-11-18,45113,,22,26118
2022-11-19,21112,,58,21992
2022-11-20,12157,,56,17520
2022-11-21,37156,,4,3835
2022-11-22,35753,,22,20646
2022-11-23,30896,,16,19238
2022-11-24,590,,18,21172
2022-11-25,18720,,11,20088
2022-11-26,15472,,63,21232
2022-11-27,10153,,42,12536
2022-11-28,27536,,2,3676
2022-11-29,29172,,17,28600
2022-11-30,37798,,14,8363
2022-12-01,33005,,12,16793
2022-12-02,37057,,18,14752
2022-12-03,16790,,71,13910
2022-12-04,9789,,47,12096
2022-12-05,28332,,7,3111
2022-12-06,29468,,30,13726
2022-12-07,30697,,25,12022
2022-12-08,31286,,14,14337
2022-12-09,34365,,17,15667
2022-12-10,16983,,44,16334
2022-12-11,10186,,42,10911
2022-12-12,29146,,3,4298
2022-12-13,29256,,15,15612
2022-12-14,28828,,20,16670
2022-12-15,26034,,9,16269
2022-12-16,30502,,4,16880
2022-12-17,16702,,43,13609
2022-12-18,9974,,35,14013
2022-12-19,28174,,1,2622
2022-12-20,27519,,18,15860
2022-12-21,25964,,28,17465
2022-12-22,20749,,17,20115
2022-12-23,14334,,6,20255
2022-12-24,4172,,0,19958
2022-12-25,166,,,16439
2022-12-26,10144,,,5029
2022-12-27,24947,,0,16366
2022-12-28,24284,,24,17794
2022-12-29,24247,,13,18234
2022-12-30,22227,,31,15564
2022-12-31,5113,,27,15208
2023-01-01,772,,0,8598
2023-01-02,11705,,0,1227
2023-01-03,22834,,14,8244
2023-01-04,21481,,28,9488
2023-01-05,22368,,16,9659
2023-01-06,26424,,21,9614
2023-01-07,12637,,77,10476
2023-01-08,6497,,45,9750
2023-01-09,19656,,2,2394
2023-01-10,20101,,14,11628
2023-01-11,19716,,32,10208
2023-01-12,19524,,12,12012
2023-01-13,21762,,13,11209
2023-01-14,9647,,40,9743
2023-01-15,4350,,30,4772
2023-01-16,10976,,2,1474
2023-01-17,16216,,19,10161
2023-01-18,15475,,23,12872
2023-01-19,15055,,7,20979
2023-01-20,16423,,8,20604
2023-01-21,6621,,27,26242
2023-01-22,3006,,13,28517
2023-01-23,12610,,2,7224
2023-01-24,13718,,13,25646
2023-01-25,13096,,18,29683
2023-01-26,13657,,12,27734
2023-01-27,15040,,9,6610
2023-01-28,5881,,57,29285
2023-01-29,3004,,28,30119
2023-01-30,11409,,2,51032
2023-01-31,11943,,15,30682
2023-02-01,11747,,37,26802
2023-02-02,12022,,13,15504
2023-02-03,13761,,10,16777
2023-02-04,5629,,44,15460
2023-02-05,2927,,22,12473
2023-02-06,11086,,7,4774
2023-02-07,11476,,13,14191
2023-02-08,11386,,31,14268
2023-02-09,11451,,15,14086
