Date 1,Country Name,Vaccine On OD1,Date 2,Vaccine On OD2,Date 3,Vaccine On OD3,Percentage change of totals
15/03/2021,Afghanistan,2862,15/03/2022,12183,15/03/2023,29736,2
15/03/2021,Albania,1361,15/03/2022,1777,15/03/2023,294,0
15/03/2021,Andorra,679,15/03/2022,28,15/03/2023,2,0
15/03/2021,Angola,4283,15/03/2022,45761,15/03/2023,14593,9
15/03/2021,Anguilla,69,15/03/2022,19,15/03/2023,,
15/03/2021,Argentina,117386,15/03/2022,98497,15/03/2023,8686,0
15/03/2021,Australia,12504,15/03/2022,80722,15/03/2023,36214,5
15/03/2021,Austria,35950,15/03/2022,3716,15/03/2023,528,0
15/03/2021,Bahamas,154,15/03/2022,208,15/03/2023,9,0
15/03/2021,Bangladesh,91598,15/03/2022,567211,15/03/2023,91991,5
15/03/2021,Barbados,534,15/03/2022,75,15/03/2023,1,0
15/03/2021,Belarus,1352,15/03/2022,25528,15/03/2023,27401,17
15/03/2021,Belgium,29846,15/03/2022,10354,15/03/2023,183,0
15/03/2021,Belize,1177,15/03/2022,319,15/03/2023,0,1
15/03/2021,Brazil,343726,15/03/2022,924373,15/03/2023,132599,1
15/03/2021,Bulgaria,6796,15/03/2022,1865,15/03/2023,89,0
15/03/2021,Cambodia,21071,15/03/2022,44912,15/03/2023,28961,1
15/03/2021,Canada,98080,15/03/2022,30642,15/03/2023,8338,0
15/03/2021,Cayman Islands,870,15/03/2022,62,15/03/2023,13,0
15/03/2021,Chile,293938,15/03/2022,68370,15/03/2023,14791,0
15/03/2021,Colombia,85412,15/03/2022,120696,15/03/2023,6145,0
15/03/2021,Costa Rica,6214,15/03/2022,29541,15/03/2023,5786,3
15/03/2021,Croatia,9031,15/03/2022,1018,15/03/2023,31,0
15/03/2021,Czechia,37185,15/03/2022,3501,15/03/2023,181,0
15/03/2021,Denmark,12953,15/03/2022,1347,15/03/2023,35,0
15/03/2021,Dominican Republic,39280,15/03/2022,8776,15/03/2023,1068,0
15/03/2021,Ecuador,16804,15/03/2022,51345,15/03/2023,2862,2
15/03/2021,Egypt,2915,15/03/2022,286182,15/03/2023,126853,97
15/03/2021,England,323384,15/03/2022,68149,15/03/2023,634,0
15/03/2021,Estonia,6387,15/03/2022,637,15/03/2023,47,0
15/03/2021,Finland,17818,15/03/2022,16451,15/03/2023,242,0
15/03/2021,France,231877,15/03/2022,26387,15/03/2023,2326,0
15/03/2021,French Polynesia,853,15/03/2022,252,15/03/2023,7,0
15/03/2021,Gambia,281,15/03/2022,3768,15/03/2023,0,13
15/03/2021,Germany,259973,15/03/2022,125585,15/03/2023,2751,0
15/03/2021,Ghana,24678,15/03/2022,16897,15/03/2023,0,1
15/03/2021,Greece,22768,15/03/2022,13420,15/03/2023,297,0
15/03/2021,Grenada,317,15/03/2022,58,15/03/2023,1,0
15/03/2021,Guatemala,3948,15/03/2022,35907,15/03/2023,2260,8
15/03/2021,Honduras,276,15/03/2022,9399,15/03/2023,346,33
15/03/2021,Hong Kong,14606,15/03/2022,70172,15/03/2023,1309,3
15/03/2021,India,1419814,15/03/2022,1802891,15/03/2023,5786,0
15/03/2021,Indonesia,206490,15/03/2022,961310,15/03/2023,23519,3
15/03/2021,Iran,3806,15/03/2022,254171,15/03/2023,2385,65
15/03/2021,Israel,79587,15/03/2022,971,15/03/2023,123,0
15/03/2021,Italy,187561,15/03/2022,63964,15/03/2023,1357,0
15/03/2021,Jamaica,2350,15/03/2022,1335,15/03/2023,110,0
15/03/2021,Japan,31354,15/03/2022,935926,15/03/2023,34242,28
15/03/2021,Kazakhstan,3453,15/03/2022,41222,15/03/2023,41222,10
15/03/2021,Kenya,1442,15/03/2022,34890,15/03/2023,9312,23
15/03/2021,Kuwait,12714,15/03/2022,14593,15/03/2023,17,0
15/03/2021,Lesotho,410,15/03/2022,587,15/03/2023,674,0
15/03/2021,Liechtenstein,74,15/03/2022,15,15/03/2023,0,1
15/03/2021,Lithuania,8086,15/03/2022,486,15/03/2023,21,0
15/03/2021,Luxembourg,1893,15/03/2022,399,15/03/2023,15,0
15/03/2021,Macao,1142,15/03/2022,4455,15/03/2023,72,2
15/03/2021,Malaysia,22763,15/03/2022,57110,15/03/2023,708,1
15/03/2021,Maldives,7843,15/03/2022,1261,15/03/2023,3,0
15/03/2021,Malta,3500,15/03/2022,502,15/03/2023,13,0
15/03/2021,Mauritius,3242,15/03/2022,1894,15/03/2023,14,0
15/03/2021,Moldova,1049,15/03/2022,2903,15/03/2023,135,1
15/03/2021,Morocco,197070,15/03/2022,21510,15/03/2023,106,0
15/03/2021,Mozambique,5839,15/03/2022,1300,15/03/2023,0,1
15/03/2021,Myanmar,12222,15/03/2022,148420,15/03/2023,78317,11
15/03/2021,Nepal,44361,15/03/2022,107444,15/03/2023,5670,1
15/03/2021,Netherlands,29908,15/03/2022,34406,15/03/2023,507,0
15/03/2021,New Caledonia,789,15/03/2022,32,15/03/2023,21,0
15/03/2021,New Zealand,1193,15/03/2022,9698,15/03/2023,432,7
15/03/2021,Nicaragua,1401,15/03/2022,13403,15/03/2023,2335,8
15/03/2021,Nigeria,727,15/03/2022,165413,15/03/2023,110035,226
15/03/2021,North Macedonia,189,15/03/2022,485,15/03/2023,2,1
15/03/2021,Northern Ireland,7306,15/03/2022,1204,15/03/2023,121,0
15/03/2021,Pakistan,15092,15/03/2022,819615,15/03/2023,41887,53
15/03/2021,Panama,7473,15/03/2022,11880,15/03/2023,1766,0
15/03/2021,Paraguay,1460,15/03/2022,11283,15/03/2023,692,6
