Date 1,Country Name,Vaccine On OD1,Date 2,Vaccine On OD2,Date 3,Vaccine On OD3,Percentage change of totals
15/03/2021,Peru,24870,15/03/2022,151649,15/03/2023,20784,5
15/03/2021,Philippines,24571,15/03/2022,208482,15/03/2023,1597654,1
15/03/2021,Poland,78904,15/03/2022,20294,15/03/2023,1110,0
15/03/2021,Portugal,24683,15/03/2022,5979,15/03/2023,778,0
15/03/2021,Qatar,20524,15/03/2022,8375,15/03/2023,42,0
15/03/2021,Romania,48557,15/03/2022,2002,15/03/2023,,
15/03/2021,Russia,138169,15/03/2022,75104,15/03/2023,38212,0
15/03/2021,Rwanda,15048,15/03/2022,13449,15/03/2023,7894,0
15/03/2021,Sao Tome and Principe,,15/03/2022,219,15/03/2023,352,
15/03/2021,Saudi Arabia,129892,15/03/2022,18006,15/03/2023,18006,0
15/03/2021,Senegal,10336,15/03/2022,6049,15/03/2023,32,0
15/03/2021,Seychelles,720,15/03/2022,79,15/03/2023,82,0
15/03/2021,Sierra Leone,970,15/03/2022,24978,15/03/2023,27946,24
15/03/2021,South Africa,6559,15/03/2022,65009,15/03/2023,3448,8
15/03/2021,South Korea,32367,15/03/2022,57298,15/03/2023,,
15/03/2021,Spain,113750,15/03/2022,50147,15/03/2023,6020,0
15/03/2021,Sudan,1659,15/03/2022,26284,15/03/2023,146536,10
15/03/2021,Sweden,30747,15/03/2022,20650,15/03/2023,7778,0
15/03/2021,Switzerland,21293,15/03/2022,2311,15/03/2023,228,0
15/03/2021,Syria,66,15/03/2022,6677,15/03/2023,1298,100
15/03/2021,Togo,2806,15/03/2022,3487,15/03/2023,20,0
15/03/2021,Tunisia,852,15/03/2022,1775,15/03/2023,58,1
15/03/2021,Turkmenistan,19106,15/03/2022,4201,15/03/2023,20524,-3
15/03/2021,Uganda,474,15/03/2022,29700,15/03/2023,1918,61
15/03/2021,Ukraine,6138,15/03/2022,6125,15/03/2023,6125,0
15/03/2021,United States,2608866,15/03/2022,188821,15/03/2023,52677,0
15/03/2021,Uruguay,16322,15/03/2022,19605,15/03/2023,279,0
15/03/2021,Vietnam,2213,15/03/2022,297547,15/03/2023,4050,133
15/03/2021,Wales,30490,15/03/2022,2129,15/03/2023,298,0
